id,M,Al,C,N,P,K,dielectric_permittivity,vnir_460,vnir_620,vnir_1200,vnir_1300,vnir_1450,vnir_1550,vnir_1650
#0,0.3,0.04,0,0,0,0,16.71,1.82,1.68,0.22,0.9,0.09,0.602,0.09
#M1,0,0.04,0,0,0,0,4.41,2.08,2.31,0.17,1.500 ,0.3,0.78,0.23
#M2,0.1,0.04,0,0,0,0,9.35,1.99,2.02,0.2,1.224,0.25,0.72,0.23
#M3,0.2,0.04,0,0,0,0,13.14,1.86,1.83,0.18,1.023,0.18,0.621,0.27
#M4,0.4,0.04,0,0,0,0,22.09,1.77,1.53,0.19,0.846,0.03,0.494,0.04
#M5,0.5,0.04,0,0,0,0,29.82,1.32,1.22,0.13,0.728,0.01,0.188,0.03
#Al1,0.3,0,0,0,0,0,14.2,1.01,0,0.26,0,0.08,0,0.1
#Al2,0.3,0.02,0,0,0,0,15.24,1.81,1.002,0.28,0.723,0.09,0.303,0.11
#Al3,0.3,0.06,0,0,0,0,17.38,1.75,1.261,0.33,0.759,0.07,0.337,0.06
#Al4,0.3,0.08,0,0,0,0,18.54,1.72,1.514,0.39,0.784,0.09,0.364,0.06
#Al5,0.3,0.1,0,0,0,0,19.2,1.68,1.722,0.4,1.191,0.06,0.349,0.08
#C1,0.3,0.04,0.1,0,0,0,16.19,1.33,0.909,0.25,0.583,0.07,0.278,0.08
#C2,0.3,0.04,0.2,0,0,0,15.3,1.01,0.877,0.22,0.722,0.07,0.276,0.18
#C3,0.3,0.04,0.3,0,0,0,14.29,0.82,0.774,0.21,0.773,0.05,0.279,0.25
#C4,0.3,0.04,0.4,0,0,0,13.67,0.73,0.633,0.19,0.898,0.06,0.28,0.28
#C5,0.3,0.04,0.5,0,0,0,13.12,0.5,0.357,0.18,0.923,0.04,0.289,0.29
#N1,0.3,0.04,0,0.0002,0,0,16.69,0.57,1.293,0.16,0.292,0.07,0.116,0.05
#N2,0.3,0.04,0,0.0004,0,0,16.62,0.57,1.077,0.1,0.297,0.05,0.105,0.03
#N3,0.3,0.04,0,0.0006,0,0,16.71,0.57,0.990,0.08,0.298,0.07,0.095,0.04
#N4,0.3,0.04,0,0.0008,0,0,16.65,0.56,0.969,0.06,0.297,0.05,0.086,0.07
#N5,0.3,0.04,0,0.002,0,0,16.84,0.62,0.957,0.05,0.866,0.06,0.338,0.07
#N6,0.3,0.04,0,0.004,0,0,16.72,0.57,0.952,0.03,0.706,0.07,0.284,0.08
#N7,0.3,0.04,0,0.006,0,0,16.81,0.59,0.950 ,0.03,0.702,0.06,0.268,0.05
#N8,0.3,0.04,0,0.008,0,0,16.79,0.58,0.946,0.02,0.637,0.07,0.198,0.07
#N9,0.3,0.04,0,0.01,0,0,16.67,0.55,0.944,0.01,0.598,0.08,0.166,0.08
#P1,0.3,0.04,0,0,0.0002,0,16.78,0.56,1.963,0.18,0.336,0.11,0.122,0.04
#P2,0.3,0.04,0,0,0.0004,0,16.66,0.55,1.942,0.12,0.292,0.12,0.122,0.03
#P3,0.3,0.04,0,0,0.0006,0,16.84,0.56,1.913,0.12,0.301,0.11,0.123,0.04
#P4,0.3,0.04,0,0,0.0008,0,16.8,0.57,1.892,0.13,0.296,0.13,0.122,0.13
#P5,0.3,0.04,0,0,0.002,0,16.75,0.54,2.199,0.1,0.295,0.12,0.120 ,0.1
#P6,0.3,0.04,0,0,0.004,0,16.64,0.53,2.007,0.08,0.297,0.13,0.119,0.14
#P7,0.3,0.04,0,0,0.006,0,16.82,0.54,1.721,0.07,0.296,0.12,0.121,0.18
#P8,0.3,0.04,0,0,0.008,0,16.73,0.56,1.359,0.09,0.293,0.13,0.122,0.15
#P9,0.3,0.04,0,0,0.01,0,16.89,0.55,1.023,0.07,0.294,0.13,0.123,0.13
#K1,0.3,0.04,0,0,0,0.0002,16.87,0.33,2.169,0.18,0.209,0.03,0.136,0.05
#K2,0.3,0.04,0,0,0,0.0004,16.68,0.31,2.121,0.14,0.171,0.03,0.122,0.05
#K3,0.3,0.04,0,0,0,0.0006,16.74,0.31,2.11,0.12,0.173,0.02,0.124,0.05
#K4,0.3,0.04,0,0,0,0.0008,16.69,0.29,2.098,0.14,0.144,0.03,0.130 ,0.03
#K5,0.3,0.04,0,0,0,0.002,16.71,0.28,1.525,0.14,0.834,0.02,0.256,0.05
#K6,0.3,0.04,0,0,0,0.004,16.82,0.26,1.144,0.12,0.783,0.03,0.236,0.06
#K7,0.3,0.04,0,0,0,0.006,16.93,0.24,1.069,0.13,0.782,0.01,0.254,0.06
#K8,0.3,0.04,0,0,0,0.008,16.84,0.23,1.017,0.12,0.703,0.02,0.181,0.03
#K9,0.3,0.04,0,0,0,0.01,16.95,0.2,0.981,0.09,0.653,0.02,0.167,0.02
